time,volumeAll,volumeAbove,groundedArea,floatingArea,totalArea,groundedPlusLand,ice_mass,SLE,SLEm,difference,LRF,SMA10
34.0,1.352981991893e+16,1.137865959117e+16,6361208000000.0,1228102000000.0,7589310000000.0,9809237000000.0,10434230.84510289,28839.77569127388,-28.839775691273882,,,
35.0,1.352105722347e+16,1.137805097767e+16,6357981000000.0,1231466000000.0,7589447000000.0,9805960000000.0,10433672.746523391,28838.233130247074,-28.838233130247072,0.001542561026809608,0.000192820128351201,
36.0,1.35119715994e+16,1.137701736727e+16,6354457000000.0,1234828000000.0,7589285000000.0,9802583000000.0,10432724.92578659,28835.613393550553,-28.835613393550553,0.0026197366965199365,0.00032746708706499206,
37.0,1.350344046326e+16,1.137640198125e+16,6351134000000.0,1238100000000.0,7589234000000.0,9799260000000.0,10432160.61680625,28834.053667236734,-28.834053667236734,0.0015597263138182882,0.00019496578922728602,
38.0,1.349505922916e+16,1.13757596814e+16,6347908000000.0,1241276000000.0,7589184000000.0,9795947000000.0,10431571.6278438,28832.42572648922,-28.83242572648922,0.0016279407475146002,0.00020349259343932502,
39.0,1.348683920114e+16,1.137502338842e+16,6344566000000.0,1244658000000.0,7589224000000.0,9792597000000.0,10430896.447181141,28830.55955550343,-28.83055955550343,0.0018661709857887843,0.00023327137322359803,
40.0,1.347879286461e+16,1.137435975977e+16,6341300000000.0,1247918000000.0,7589218000000.0,9789288000000.0,10430287.89970909,28828.877555857078,-28.828877555857076,0.001681999646354626,0.00021024995579432826,
41.0,1.347094031673e+16,1.137369184241e+16,6337845000000.0,1251266000000.0,7589111000000.0,9785868000000.0,10429675.41948997,28827.18468626305,-28.82718468626305,0.0016928695940272576,0.0002116086992534072,
42.0,1.34637380255e+16,1.137351465363e+16,6334582000000.0,1254724000000.0,7589306000000.0,9782355000000.0,10429512.93737871,28826.735592533747,-28.826735592533748,0.00044909372930135305,5.613671616266913e-05,
43.0,1.345635613907e+16,1.137280959592e+16,6331062000000.0,1258252000000.0,7589314000000.0,9778771000000.0,10428866.399458641,28824.948588885134,-28.824948588885135,0.0017870036486122842,0.00022337545607653553,
44.0,1.344919627735e+16,1.137197419375e+16,6327581000000.0,1261745000000.0,7589326000000.0,9775360000000.0,10428100.33566875,28822.83122075387,-28.82283122075387,0.002117368131266062,0.00026467101640825774,0.00021180588150016
45.0,1.344222297741e+16,1.137124325345e+16,6323999000000.0,1265245000000.0,7589244000000.0,9771768000000.0,10427430.063413652,28820.978616400364,-28.820978616400364,0.001852604353505427,0.00023157554418817838,0.00021568142308385773
46.0,1.343538930153e+16,1.13704236924e+16,6320504000000.0,1268644000000.0,7589148000000.0,9768247000000.0,10426678.5259308,28818.901398371476,-28.818901398371477,0.0020772180288872732,0.00025965225361090916,0.00020889993973844946
47.0,1.342868948009e+16,1.136970963093e+16,6316815000000.0,1272288000000.0,7589103000000.0,9764648000000.0,10426023.731562812,28817.091574247683,-28.817091574247684,0.0018098241237929358,0.00022622801547411697,0.00021202616236313255
48.0,1.342167218825e+16,1.13686151689e+16,6313219000000.0,1275757000000.0,7588976000000.0,9761240000000.0,10425020.1098813,28814.317606084303,-28.814317606084302,0.0027739681633818236,0.00034674602042272795,0.00022635150506147283
49.0,1.341519935097e+16,1.13678460267e+16,6309743000000.0,1279228000000.0,7588971000000.0,9757561000000.0,10424314.8064839,28812.36817712521,-28.812368177125208,0.0019494289590937797,0.00024367861988672246,0.00022739222972778528
